Date,Time,Piovan Silo Actual[%],Silo 01 Actual[%],Silo 02 Actual[%],Rotary01(N2)[Start/Stop],Rotary01(N2)[Fault/NotFault]
03/09/2023,10:58:56,5.00,5.00,7.00,8,6
03/09/2023,10:58:57,4.00,3.00,9.00,4,9
03/09/2023,10:58:58,1.00,6.00,6.00,5,7
03/09/2023,10:58:59,5.00,5.00,0.00,7,5
03/09/2023,10:59:00,8.00,9.00,0.00,0,8
03/09/2023,10:59:01,9.00,1.00,2.00,8,7
03/09/2023,10:59:02,5.00,5.00,5.00,2,5
03/09/2023,10:59:03,7.00,6.00,1.00,8,6
03/09/2023,10:59:04,1.00,7.00,1.00,1,1
03/09/2023,10:59:05,0.00,9.00,7.00,1,5
03/09/2023,10:59:06,2.00,3.00,5.00,6,8
03/09/2023,10:59:07,6.00,7.00,2.00,7,4
03/09/2023,10:59:08,3.00,0.00,7.00,5,0
03/09/2023,10:59:09,7.00,8.00,7.00,1,6
03/09/2023,10:59:10,5.00,8.00,3.00,9,9
03/09/2023,10:59:11,2.00,1.00,6.00,6,6
03/09/2023,10:59:12,9.00,7.00,8.00,7,9
03/09/2023,10:59:13,7.00,5.00,0.00,6,6
03/09/2023,10:59:14,5.00,4.00,6.00,7,3
03/09/2023,10:59:15,5.00,5.00,6.00,2,6
03/09/2023,10:59:16,7.00,8.00,3.00,7,4
03/09/2023,10:59:17,2.00,1.00,4.00,2,9
03/09/2023,10:59:18,7.00,2.00,5.00,6,0
03/09/2023,10:59:19,3.00,0.00,4.00,9,5
03/09/2023,10:59:20,9.00,1.00,4.00,3,6
03/09/2023,10:59:21,0.00,9.00,3.00,2,7
03/09/2023,10:59:22,4.00,8.00,1.00,1,6
03/09/2023,10:59:23,5.00,9.00,4.00,9,4
03/09/2023,10:59:24,1.00,7.00,0.00,4,1
03/09/2023,10:59:25,4.00,6.00,5.00,9,5
03/09/2023,10:59:26,3.00,7.00,1.00,8,0
03/09/2023,10:59:27,3.00,3.00,1.00,3,0
03/09/2023,10:59:28,2.00,6.00,7.00,7,8
03/09/2023,10:59:29,2.00,0.00,8.00,0,0
03/09/2023,10:59:30,1.00,9.00,8.00,1,0
03/09/2023,10:59:31,9.00,0.00,5.00,2,0
03/09/2023,10:59:32,3.00,3.00,7.00,0,3
03/09/2023,10:59:33,1.00,2.00,9.00,1,7
03/09/2023,10:59:34,7.00,1.00,6.00,7,4
03/09/2023,10:59:35,1.00,8.00,3.00,5,4
03/09/2023,11:01:27,5.00,5.00,7.00,8,6
03/09/2023,11:01:28,7.00,1.00,6.00,9,0
03/09/2023,11:01:29,9.00,0.00,7.00,0,8
03/09/2023,11:01:30,5.00,3.00,9.00,9,8
03/09/2023,11:01:31,5.00,3.00,7.00,9,5
03/09/2023,11:01:32,1.00,5.00,2.00,2,7
03/09/2023,11:01:33,5.00,6.00,4.00,3,3
03/09/2023,11:01:34,8.00,0.00,3.00,3,1
03/09/2023,11:01:35,3.00,3.00,6.00,0,4
03/09/2023,11:01:37,7.00,1.00,5.00,8,1
03/09/2023,11:01:38,7.00,7.00,3.00,7,6
03/09/2023,11:01:39,6.00,0.00,9.00,9,9
03/09/2023,11:01:40,8.00,1.00,3.00,6,5
03/09/2023,11:01:41,2.00,5.00,7.00,1,9
03/09/2023,11:01:42,7.00,1.00,6.00,4,2
03/09/2023,11:01:43,3.00,5.00,6.00,6,9
03/09/2023,11:01:44,5.00,0.00,6.00,6,3
03/09/2023,11:01:45,2.00,3.00,0.00,3,5
03/09/2023,11:01:46,3.00,1.00,5.00,4,5
03/09/2023,11:01:47,5.00,6.00,8.00,4,8
03/09/2023,11:01:48,0.00,6.00,7.00,9,6
03/09/2023,11:01:49,4.00,6.00,5.00,0,9
03/09/2023,11:01:50,8.00,4.00,1.00,3,6
03/09/2023,11:01:51,6.00,9.00,8.00,8,4
03/09/2023,11:04:49,5.00,5.00,7.00,8,6
03/09/2023,11:04:50,2.00,6.00,0.00,5,9
03/09/2023,11:04:51,3.00,1.00,7.00,2,3
03/09/2023,11:04:52,4.00,0.00,6.00,6,4
03/09/2023,11:04:53,9.00,5.00,2.00,5,3
03/09/2023,11:04:54,9.00,6.00,1.00,2,9
03/09/2023,11:04:55,3.00,8.00,0.00,9,5
03/09/2023,11:04:56,0.00,3.00,0.00,8,9
03/09/2023,11:04:57,2.00,3.00,0.00,6,6
03/09/2023,11:04:58,6.00,0.00,9.00,9,9
03/09/2023,11:04:59,5.00,4.00,2.00,7,8
03/09/2023,11:05:00,7.00,2.00,4.00,4,6
03/09/2023,11:05:01,2.00,8.00,0.00,2,7
03/09/2023,11:05:02,9.00,4.00,6.00,1,5
03/09/2023,11:05:03,3.00,7.00,8.00,1,8
03/09/2023,11:05:04,0.00,6.00,3.00,1,4
03/09/2023,11:05:05,6.00,6.00,9.00,6,5
03/09/2023,11:05:06,3.00,4.00,3.00,5,8
03/09/2023,12:03:35,5.00,5.00,7.00,8,6
03/09/2023,12:03:36,5.00,5.00,7.00,2,2
03/09/2023,12:03:37,6.00,2.00,9.00,9,6
03/09/2023,12:03:39,5.00,3.00,8.00,1,1
03/09/2023,12:03:40,1.00,7.00,8.00,1,6
03/09/2023,12:03:41,3.00,5.00,7.00,7,9
03/09/2023,12:03:42,4.00,2.00,7.00,6,1
03/09/2023,12:03:43,7.00,7.00,6.00,5,4
03/09/2023,12:03:44,8.00,0.00,9.00,2,4
03/09/2023,12:03:45,5.00,9.00,1.00,2,3
03/09/2023,12:03:46,2.00,0.00,1.00,9,7
03/09/2023,12:05:09,5.00,5.00,7.00,8,6
03/09/2023,12:05:10,3.00,5.00,9.00,4,0
03/09/2023,12:05:11,9.00,3.00,0.00,5,7
03/09/2023,12:05:12,6.00,6.00,4.00,9,4
03/09/2023,12:05:13,9.00,5.00,0.00,3,0
03/09/2023,12:05:14,3.00,1.00,8.00,4,6
03/09/2023,12:05:15,6.00,9.00,1.00,3,7
03/09/2023,12:05:16,9.00,3.00,9.00,9,9
03/09/2023,12:07:00,5.00,5.00,7.00,8,6
03/09/2023,12:07:01,1.00,6.00,2.00,5,9
03/09/2023,12:07:02,1.00,8.00,2.00,2,3
03/09/2023,12:07:03,1.00,6.00,8.00,4,5
03/09/2023,12:07:04,6.00,5.00,8.00,7,2
03/09/2023,12:07:05,5.00,2.00,0.00,0,3
03/09/2023,12:07:06,6.00,3.00,3.00,2,7
03/09/2023,12:07:07,9.00,8.00,2.00,9,9
03/09/2023,12:07:08,2.00,2.00,4.00,7,1
03/09/2023,12:07:09,4.00,7.00,9.00,4,1
03/09/2023,12:07:10,3.00,7.00,4.00,3,9
03/09/2023,12:07:11,2.00,8.00,4.00,2,3
03/09/2023,12:07:12,5.00,0.00,6.00,1,1
03/09/2023,12:07:13,5.00,3.00,0.00,5,5
03/09/2023,12:07:14,5.00,4.00,5.00,2,9
03/09/2023,12:07:15,6.00,7.00,4.00,7,2
03/09/2023,12:07:16,7.00,3.00,2.00,2,3
03/09/2023,12:07:17,9.00,7.00,8.00,8,8
03/09/2023,12:07:18,5.00,2.00,4.00,5,7
03/09/2023,12:07:19,7.00,7.00,3.00,2,0
03/09/2023,12:07:20,7.00,4.00,4.00,5,5
03/09/2023,12:10:46,5.00,5.00,7.00,8,6
03/09/2023,12:10:47,0.00,6.00,4.00,3,5
03/09/2023,12:10:48,9.00,7.00,1.00,6,8
03/09/2023,12:10:49,4.00,4.00,7.00,9,0
03/09/2023,12:10:50,6.00,2.00,6.00,8,5
03/09/2023,12:10:51,4.00,8.00,2.00,7,5
03/09/2023,12:10:52,4.00,2.00,2.00,9,2
03/09/2023,12:10:53,9.00,6.00,7.00,9,6
03/09/2023,12:10:54,4.00,9.00,9.00,0,3
03/09/2023,12:10:55,3.00,0.00,4.00,2,0
03/09/2023,12:10:56,6.00,8.00,6.00,4,1
03/09/2023,12:13:57,5.00,5.00,7.00,8,6
03/09/2023,12:13:58,7.00,1.00,4.00,5,6
03/09/2023,12:13:59,4.00,8.00,3.00,6,1
03/09/2023,12:14:00,3.00,3.00,0.00,3,6
03/09/2023,12:14:01,1.00,3.00,8.00,5,9
03/09/2023,12:14:02,3.00,4.00,1.00,0,2
03/09/2023,12:14:03,5.00,3.00,0.00,1,5
03/09/2023,12:14:04,5.00,6.00,6.00,9,2
03/09/2023,12:14:05,5.00,0.00,4.00,1,1
03/09/2023,12:14:06,5.00,0.00,8.00,4,5
03/09/2023,12:14:07,0.00,0.00,8.00,5,4
03/09/2023,12:14:08,2.00,6.00,6.00,8,8
03/09/2023,12:14:09,7.00,3.00,5.00,6,7
03/09/2023,12:14:10,3.00,3.00,0.00,0,5
03/09/2023,12:14:11,8.00,2.00,1.00,5,5
03/09/2023,12:18:00,5.00,5.00,7.00,8,6
03/09/2023,12:18:01,2.00,5.00,9.00,7,0
03/09/2023,12:18:03,4.00,8.00,2.00,0,9
03/09/2023,12:18:04,2.00,9.00,0.00,1,9
03/09/2023,12:18:05,4.00,8.00,3.00,6,8
03/09/2023,12:18:06,6.00,9.00,2.00,5,0
03/09/2023,12:18:07,6.00,3.00,3.00,3,9
03/09/2023,12:18:08,9.00,4.00,2.00,0,0
03/09/2023,12:18:09,0.00,6.00,2.00,7,7
03/09/2023,12:18:10,4.00,0.00,6.00,5,7
03/09/2023,12:18:11,6.00,5.00,6.00,5,1
03/09/2023,12:18:12,6.00,3.00,7.00,1,2
03/09/2023,12:18:13,2.00,0.00,0.00,7,9
03/09/2023,12:18:14,7.00,2.00,8.00,3,4
03/09/2023,12:18:15,4.00,6.00,9.00,2,9
03/09/2023,12:18:16,3.00,8.00,9.00,8,8
03/09/2023,12:18:17,2.00,0.00,8.00,8,6
03/09/2023,12:18:18,1.00,4.00,3.00,4,0
03/09/2023,12:18:19,9.00,8.00,9.00,5,9
03/09/2023,12:18:20,3.00,6.00,0.00,4,0
03/09/2023,12:18:21,0.00,2.00,0.00,4,4
03/09/2023,12:25:44,5.00,5.00,7.00,8,6
03/09/2023,12:25:45,8.00,0.00,9.00,7,4
03/09/2023,12:25:46,4.00,6.00,3.00,3,5
03/09/2023,12:25:47,3.00,6.00,4.00,1,0
03/09/2023,12:25:48,8.00,4.00,0.00,6,0
03/09/2023,12:25:49,6.00,5.00,0.00,3,9
03/09/2023,12:25:50,6.00,8.00,3.00,3,4
03/09/2023,12:25:51,8.00,5.00,9.00,8,6
03/09/2023,12:25:52,0.00,5.00,4.00,4,4
03/09/2023,12:25:53,7.00,5.00,1.00,3,5
03/09/2023,12:25:55,4.00,4.00,5.00,5,2
03/09/2023,12:25:56,9.00,4.00,0.00,9,7
03/09/2023,12:26:33,5.00,5.00,7.00,8,6
03/09/2023,12:26:34,0.00,2.00,3.00,5,3
03/09/2023,12:26:35,7.00,9.00,2.00,2,7
03/09/2023,12:26:36,0.00,5.00,8.00,4,6
03/09/2023,12:26:37,0.00,8.00,1.00,9,0
03/09/2023,12:26:38,5.00,0.00,8.00,8,7
03/09/2023,12:26:39,0.00,5.00,8.00,8,7
03/09/2023,12:26:40,9.00,6.00,2.00,9,7
03/09/2023,12:26:41,7.00,2.00,5.00,4,6
03/09/2023,12:26:42,9.00,9.00,4.00,8,7
03/09/2023,12:26:43,7.00,3.00,1.00,9,7
03/09/2023,12:26:44,0.00,1.00,2.00,0,6
03/09/2023,12:26:45,5.00,3.00,5.00,4,1
03/09/2023,12:26:46,0.00,8.00,6.00,9,2
03/09/2023,12:26:47,1.00,6.00,1.00,1,3
03/09/2023,12:26:48,6.00,7.00,4.00,3,7
03/09/2023,12:30:08,5.00,5.00,7.00,8,6
03/09/2023,12:30:09,4.00,4.00,9.00,2,1
03/09/2023,12:30:10,1.00,3.00,8.00,6,2
03/09/2023,12:30:11,0.00,8.00,1.00,0,9
03/09/2023,12:30:12,1.00,0.00,4.00,7,3
03/09/2023,12:30:13,7.00,4.00,7.00,2,0
03/09/2023,12:30:14,1.00,0.00,7.00,0,0
03/09/2023,12:30:15,9.00,0.00,7.00,0,7
03/09/2023,12:30:16,9.00,5.00,6.00,0,4
03/09/2023,12:30:17,7.00,9.00,5.00,3,3
03/09/2023,12:30:18,4.00,3.00,2.00,1,0
03/09/2023,12:30:19,4.00,9.00,0.00,6,0
03/09/2023,12:30:20,8.00,9.00,6.00,8,8
03/09/2023,12:30:21,1.00,3.00,6.00,6,4
03/09/2023,12:36:57,5.00,5.00,7.00,8,6
03/09/2023,12:36:58,9.00,3.00,2.00,0,5
03/09/2023,12:36:59,9.00,7.00,2.00,3,8
03/09/2023,12:37:00,7.00,2.00,0.00,2,3
03/09/2023,12:37:01,1.00,6.00,4.00,0,1
03/09/2023,12:37:02,0.00,9.00,8.00,0,4
03/09/2023,12:37:03,3.00,2.00,5.00,5,7
03/09/2023,12:37:04,1.00,9.00,8.00,2,7
03/09/2023,12:37:05,7.00,5.00,1.00,1,4
03/09/2023,12:37:06,3.00,6.00,9.00,5,0
03/09/2023,12:37:07,0.00,6.00,1.00,0,4
03/09/2023,12:37:08,1.00,9.00,8.00,8,0
03/09/2023,12:37:09,4.00,3.00,1.00,1,9
03/09/2023,12:37:10,8.00,6.00,6.00,3,6
03/09/2023,12:37:11,9.00,9.00,8.00,4,4
03/09/2023,12:37:12,7.00,6.00,5.00,2,3
03/09/2023,12:37:13,5.00,2.00,2.00,1,8
03/09/2023,12:37:14,6.00,3.00,8.00,6,7
03/09/2023,12:37:15,5.00,0.00,2.00,8,7
03/09/2023,12:37:16,2.00,9.00,5.00,1,9
03/09/2023,12:37:18,0.00,9.00,2.00,7,3
03/09/2023,12:37:19,6.00,4.00,6.00,8,5
03/09/2023,12:37:20,0.00,5.00,6.00,8,1
03/09/2023,12:37:21,9.00,7.00,8.00,7,9
03/09/2023,12:37:22,0.00,9.00,4.00,4,4
03/09/2023,12:37:23,9.00,0.00,5.00,9,5
03/09/2023,12:37:24,7.00,3.00,9.00,0,6
03/09/2023,12:37:25,1.00,4.00,3.00,7,8
03/09/2023,12:37:26,8.00,3.00,6.00,8,8
03/09/2023,12:37:27,3.00,6.00,9.00,0,0
03/09/2023,12:37:28,0.00,8.00,8.00,2,6
03/09/2023,12:37:29,6.00,3.00,0.00,6,2
03/09/2023,12:37:30,1.00,5.00,8.00,0,6
03/09/2023,12:37:31,3.00,9.00,8.00,2,5
03/09/2023,12:37:32,4.00,0.00,3.00,6,2
03/09/2023,12:37:33,2.00,1.00,8.00,8,1
03/09/2023,12:37:34,2.00,1.00,5.00,7,2
03/09/2023,12:37:35,0.00,4.00,6.00,5,1
03/09/2023,12:37:36,1.00,9.00,7.00,6,8
03/09/2023,12:37:37,7.00,5.00,0.00,2,9
03/09/2023,12:37:38,9.00,7.00,6.00,5,1
03/09/2023,12:37:39,6.00,7.00,5.00,3,6
03/09/2023,12:37:40,7.00,0.00,9.00,8,5
03/09/2023,12:37:41,4.00,0.00,0.00,2,6
03/09/2023,12:37:42,7.00,3.00,4.00,4,0
03/09/2023,12:37:43,0.00,6.00,9.00,3,6
03/09/2023,12:37:44,3.00,8.00,5.00,3,5
03/09/2023,12:37:45,7.00,0.00,7.00,4,7
03/09/2023,12:37:46,3.00,7.00,6.00,2,6
03/09/2023,12:37:47,8.00,2.00,1.00,7,6
03/09/2023,12:37:48,6.00,6.00,5.00,7,8
03/09/2023,12:37:49,3.00,4.00,1.00,1,2
03/09/2023,12:37:50,8.00,3.00,5.00,1,5
03/09/2023,12:37:51,5.00,5.00,0.00,0,7
03/09/2023,12:37:52,4.00,6.00,3.00,7,8
03/09/2023,12:37:53,8.00,6.00,0.00,1,1
03/09/2023,12:37:54,7.00,7.00,4.00,0,3
03/09/2023,12:37:55,1.00,7.00,8.00,3,6
03/09/2023,12:37:56,1.00,2.00,5.00,4,2
03/09/2023,12:37:57,5.00,2.00,5.00,6,9
03/09/2023,12:37:58,3.00,9.00,5.00,0,1
03/09/2023,12:37:59,5.00,3.00,6.00,3,7
03/09/2023,12:38:00,2.00,2.00,8.00,3,4
03/09/2023,12:38:01,3.00,6.00,0.00,5,8
03/09/2023,12:38:02,4.00,8.00,6.00,9,5
03/09/2023,12:38:03,0.00,2.00,3.00,2,3
03/09/2023,12:38:04,1.00,9.00,5.00,8,2
03/09/2023,12:38:05,8.00,3.00,7.00,5,7
03/09/2023,12:38:06,1.00,2.00,1.00,7,2
03/09/2023,12:38:07,8.00,1.00,2.00,6,0
03/09/2023,12:38:08,9.00,4.00,9.00,0,5
03/09/2023,12:38:09,0.00,1.00,8.00,8,8
03/09/2023,12:38:10,5.00,1.00,8.00,6,5
03/09/2023,12:38:11,5.00,8.00,9.00,0,0
03/09/2023,12:38:12,4.00,4.00,5.00,5,8
03/09/2023,12:38:13,9.00,0.00,5.00,2,9
03/09/2023,12:38:14,5.00,8.00,5.00,6,0
03/09/2023,12:38:15,1.00,9.00,7.00,8,4
03/09/2023,12:38:16,2.00,6.00,1.00,1,2
03/09/2023,12:38:17,4.00,3.00,6.00,4,2
03/09/2023,12:38:18,6.00,3.00,9.00,9,2
03/09/2023,12:38:19,5.00,3.00,3.00,0,8
03/09/2023,12:38:20,3.00,5.00,0.00,0,0
03/09/2023,12:38:21,6.00,1.00,8.00,7,6
03/09/2023,12:38:22,5.00,7.00,1.00,6,6
03/09/2023,12:38:23,8.00,0.00,1.00,4,9
03/09/2023,12:38:24,1.00,2.00,8.00,9,9
03/09/2023,12:38:25,6.00,9.00,8.00,3,2
03/09/2023,12:38:26,7.00,2.00,8.00,7,4
03/09/2023,12:38:27,7.00,1.00,5.00,0,4
03/09/2023,12:38:28,2.00,6.00,3.00,4,4
03/09/2023,12:38:30,6.00,2.00,6.00,5,3
03/09/2023,12:38:31,8.00,2.00,4.00,8,0
03/09/2023,12:38:32,8.00,8.00,1.00,6,9
03/09/2023,12:38:33,8.00,1.00,3.00,0,4
03/09/2023,12:38:34,3.00,9.00,6.00,4,3
03/09/2023,12:38:35,6.00,8.00,6.00,0,0
03/09/2023,12:38:36,2.00,5.00,0.00,5,2
03/09/2023,12:38:37,4.00,8.00,7.00,2,3
03/09/2023,12:38:38,0.00,4.00,9.00,0,2
03/09/2023,12:38:39,9.00,6.00,2.00,4,1
03/09/2023,12:38:40,8.00,4.00,7.00,4,3
03/09/2023,12:38:41,8.00,0.00,1.00,9,6
03/09/2023,12:38:42,9.00,2.00,6.00,7,5
03/09/2023,12:38:43,0.00,5.00,0.00,5,6
03/09/2023,12:38:44,9.00,6.00,6.00,0,7
03/09/2023,12:38:45,7.00,6.00,0.00,4,4
03/09/2023,12:38:46,9.00,6.00,8.00,8,4
03/09/2023,12:45:10,5.00,5.00,7.00,8,6
03/09/2023,12:45:11,0.00,2.00,4.00,8,1
03/09/2023,12:45:12,7.00,9.00,5.00,0,1
03/09/2023,12:45:13,5.00,9.00,8.00,4,3
03/09/2023,12:45:14,9.00,0.00,2.00,9,4
03/09/2023,12:45:15,2.00,5.00,1.00,8,4
03/09/2023,12:45:16,0.00,6.00,9.00,9,2
03/09/2023,12:45:17,7.00,0.00,8.00,6,9
03/09/2023,12:45:18,7.00,4.00,9.00,7,1
03/09/2023,12:45:19,9.00,6.00,1.00,8,1
03/09/2023,12:45:20,7.00,2.00,9.00,1,9
03/09/2023,12:45:21,5.00,1.00,9.00,1,8
03/09/2023,12:45:22,0.00,5.00,2.00,9,7
03/09/2023,12:45:23,2.00,5.00,6.00,5,4
03/09/2023,12:45:24,1.00,7.00,2.00,2,3
03/09/2023,12:45:25,3.00,3.00,8.00,2,7
03/09/2023,12:45:26,1.00,0.00,9.00,7,8
03/09/2023,12:45:27,5.00,6.00,9.00,4,1
03/09/2023,12:45:28,7.00,4.00,9.00,2,2
03/09/2023,12:45:29,0.00,8.00,7.00,0,3
03/09/2023,12:45:30,7.00,2.00,5.00,2,0
03/09/2023,12:45:31,6.00,0.00,8.00,5,5
03/09/2023,12:45:32,6.00,9.00,4.00,1,4
03/09/2023,12:45:33,4.00,3.00,5.00,5,9
03/09/2023,12:45:34,1.00,1.00,4.00,1,0
03/09/2023,12:45:35,1.00,1.00,7.00,0,9
03/09/2023,12:45:36,1.00,5.00,3.00,6,8
03/09/2023,12:45:37,4.00,8.00,4.00,3,1
03/09/2023,12:45:38,6.00,0.00,9.00,7,2
03/09/2023,12:45:39,4.00,5.00,2.00,4,2
03/09/2023,12:45:40,5.00,3.00,4.00,5,9
03/09/2023,12:45:41,5.00,1.00,2.00,0,6
03/09/2023,12:45:42,3.00,0.00,3.00,3,8
03/09/2023,12:45:43,4.00,7.00,4.00,5,2
03/09/2023,12:45:44,5.00,6.00,7.00,5,8
03/09/2023,12:45:45,4.00,2.00,1.00,0,6
03/09/2023,12:45:46,0.00,5.00,5.00,3,5
03/09/2023,12:45:47,1.00,2.00,5.00,3,5
03/09/2023,12:45:48,0.00,3.00,5.00,2,9
03/09/2023,12:45:49,6.00,1.00,6.00,6,3
03/09/2023,12:45:50,4.00,7.00,2.00,2,9
03/09/2023,12:45:51,5.00,7.00,2.00,7,6
03/09/2023,12:45:52,4.00,3.00,3.00,5,7
03/09/2023,12:45:53,0.00,8.00,9.00,1,9
03/09/2023,12:45:54,9.00,8.00,7.00,3,2
03/09/2023,12:45:55,3.00,4.00,7.00,0,0
03/09/2023,12:45:56,1.00,0.00,0.00,6,0
03/09/2023,12:45:57,6.00,8.00,8.00,4,8
03/09/2023,12:45:58,6.00,2.00,6.00,3,2
03/09/2023,12:45:59,6.00,8.00,8.00,9,7
03/09/2023,12:46:00,5.00,2.00,0.00,0,4
03/09/2023,12:46:01,2.00,8.00,9.00,8,4
03/09/2023,12:46:02,2.00,7.00,8.00,2,9
03/09/2023,12:46:03,8.00,5.00,0.00,7,6
03/09/2023,12:46:04,1.00,7.00,9.00,1,4
03/09/2023,12:46:05,3.00,9.00,4.00,1,5
03/09/2023,12:46:06,1.00,5.00,5.00,3,0
03/09/2023,12:46:07,1.00,2.00,4.00,5,4
03/09/2023,12:46:08,9.00,3.00,8.00,2,3
03/09/2023,12:46:09,3.00,7.00,9.00,9,3
03/09/2023,12:46:10,7.00,8.00,0.00,6,5
03/09/2023,12:46:11,6.00,7.00,4.00,1,7
03/09/2023,12:46:12,0.00,0.00,7.00,4,4
03/09/2023,12:46:14,7.00,7.00,6.00,1,3
03/09/2023,12:46:15,5.00,2.00,7.00,6,3
03/09/2023,12:46:16,5.00,3.00,8.00,2,7
03/09/2023,12:46:17,5.00,3.00,7.00,6,6
03/09/2023,12:46:18,7.00,6.00,5.00,0,5
03/09/2023,12:46:19,3.00,6.00,3.00,9,9
03/09/2023,12:46:20,6.00,1.00,0.00,0,7
03/09/2023,12:46:21,0.00,1.00,0.00,4,9
03/09/2023,12:46:22,1.00,4.00,5.00,9,6
03/09/2023,12:46:23,9.00,3.00,1.00,1,9
03/09/2023,12:46:24,9.00,6.00,7.00,8,2
03/09/2023,12:46:25,0.00,0.00,9.00,9,3
03/09/2023,12:46:26,3.00,7.00,8.00,2,7
03/09/2023,12:46:27,2.00,3.00,4.00,9,0
03/09/2023,12:46:28,1.00,8.00,8.00,2,6
03/09/2023,12:46:29,7.00,1.00,6.00,7,6
03/09/2023,12:46:30,3.00,8.00,3.00,2,9
03/09/2023,12:46:31,6.00,0.00,8.00,4,3
03/09/2023,12:46:32,5.00,3.00,2.00,9,9
03/09/2023,12:46:33,9.00,4.00,7.00,2,0
03/09/2023,12:46:34,6.00,5.00,3.00,1,3
03/09/2023,12:46:35,6.00,8.00,7.00,2,7
03/09/2023,12:46:36,3.00,4.00,8.00,2,7
03/09/2023,12:46:37,9.00,5.00,0.00,5,0
03/09/2023,12:46:38,1.00,8.00,5.00,3,6
03/09/2023,12:46:39,1.00,8.00,8.00,7,0
03/09/2023,12:46:40,2.00,8.00,2.00,7,6
03/09/2023,12:46:41,4.00,0.00,1.00,4,9
03/09/2023,12:46:42,5.00,0.00,7.00,5,9
03/09/2023,12:46:43,0.00,3.00,1.00,9,6
03/09/2023,12:46:44,5.00,1.00,1.00,6,8
03/09/2023,12:46:45,0.00,7.00,8.00,5,8
03/09/2023,12:46:46,4.00,7.00,9.00,0,3
03/09/2023,12:46:47,3.00,9.00,6.00,3,5
03/09/2023,12:46:48,8.00,2.00,8.00,4,9
03/09/2023,12:46:49,7.00,7.00,4.00,5,2
03/09/2023,12:46:50,8.00,8.00,3.00,7,5
03/09/2023,12:46:51,2.00,9.00,6.00,2,9
03/09/2023,12:46:52,6.00,2.00,1.00,1,3
03/09/2023,12:46:53,9.00,4.00,8.00,3,9
03/09/2023,12:46:54,6.00,8.00,6.00,8,8
03/09/2023,12:46:55,0.00,0.00,7.00,5,8
03/09/2023,12:46:56,8.00,6.00,7.00,5,2
03/09/2023,12:46:57,5.00,7.00,6.00,6,0
03/09/2023,12:47:05,5.00,5.00,7.00,8,6
03/09/2023,12:47:06,7.00,4.00,0.00,0,8
03/09/2023,12:47:07,7.00,9.00,3.00,8,2
03/09/2023,12:47:08,1.00,6.00,1.00,3,0
03/09/2023,12:47:09,2.00,6.00,4.00,6,1
03/09/2023,12:47:10,4.00,0.00,8.00,4,6
03/09/2023,12:47:11,4.00,9.00,5.00,8,8
03/09/2023,12:47:12,8.00,8.00,1.00,4,2
03/09/2023,12:47:13,1.00,3.00,8.00,6,2
03/09/2023,12:47:14,0.00,7.00,6.00,0,9
03/09/2023,12:47:15,1.00,7.00,8.00,0,7
03/09/2023,12:47:16,1.00,2.00,2.00,7,7
03/09/2023,12:47:17,8.00,2.00,1.00,3,6
03/09/2023,12:47:18,8.00,5.00,8.00,3,1
03/09/2023,12:47:19,5.00,0.00,8.00,7,8
03/09/2023,12:47:20,7.00,6.00,5.00,3,8
03/09/2023,12:47:21,5.00,3.00,1.00,6,1
03/09/2023,12:47:22,0.00,9.00,0.00,9,6
03/09/2023,12:47:23,3.00,0.00,9.00,0,1
03/09/2023,12:47:24,6.00,9.00,4.00,8,6
03/09/2023,12:47:25,6.00,2.00,2.00,8,7
03/09/2023,12:47:26,1.00,0.00,2.00,2,0
03/09/2023,12:47:27,1.00,6.00,1.00,3,9
03/09/2023,12:47:28,6.00,8.00,2.00,5,3
03/09/2023,12:47:29,0.00,6.00,0.00,0,9
03/09/2023,12:47:30,6.00,2.00,4.00,5,5
03/09/2023,12:47:31,3.00,8.00,1.00,2,4
03/09/2023,12:47:32,8.00,8.00,0.00,2,7
03/09/2023,12:47:33,3.00,8.00,3.00,3,7
03/09/2023,12:47:34,9.00,5.00,1.00,0,4
03/09/2023,12:47:35,4.00,7.00,4.00,4,5
03/09/2023,12:47:36,6.00,6.00,0.00,8,4
03/09/2023,12:47:37,5.00,1.00,0.00,0,3
03/09/2023,12:47:38,1.00,3.00,9.00,4,2
03/09/2023,12:47:39,4.00,6.00,1.00,1,3
03/09/2023,12:47:40,1.00,5.00,1.00,0,6
03/09/2023,12:47:41,2.00,2.00,1.00,7,9
03/09/2023,12:47:42,6.00,5.00,5.00,0,0
